"key","label"
"ea01","National Thai Water"
"ea02","DSS (Hydrology model)"
"ea03","Data platform"
"ea04","data catalog "
"ea05","data catalog (open data)"
"ea06","TWR"
"ea07","TWUO"
"ea08","TWP"
"ea09","TWA"
"ea10","basin.onwr.go.th"
"ea11","pwic.onwr.go.th"
"ea12","waterchartmis.onwr.go.th"
